Period,Balance Total,Balance Goods BOP,Balance Services,Exports Total,Exports Goods BOP,Exports Services,Imports Total ,Imports Goods BOP,Imports Services
1960,"3,508","4,892","-1,384","25,940","19,650","6,290","22,432","14,758","7,674"
1961,"4,195","5,571","-1,376","26,403","20,108","6,295","22,208","14,537","7,671"
1962,"3,370","4,521","-1,151","27,722","20,781","6,941","24,352","16,260","8,092"
1963,"4,210","5,224","-1,014","29,620","22,272","7,348","25,410","17,048","8,362"
1964,"6,022","6,801",-779,"33,341","25,501","7,840","27,319","18,700","8,619"
1965,"4,664","4,951",-287,"35,285","26,461","8,824","30,621","21,510","9,111"
1966,"2,939","3,817",-878,"38,926","29,310","9,616","35,987","25,493","10,494"
1967,"2,604","3,800","-1,196","41,333","30,666","10,667","38,729","26,866","11,863"
1968,250,635,-385,"45,543","33,626","11,917","45,293","32,991","12,302"
1969,91,607,-516,"49,220","36,414","12,806","49,129","35,807","13,322"
1970,"2,254","2,603",-349,"56,640","42,469","14,171","54,386","39,866","14,520"
1971,"-1,302","-2,260",958,"59,677","43,319","16,358","60,979","45,579","15,400"
1972,"-5,443","-6,416",973,"67,222","49,381","17,841","72,665","55,797","16,868"
1973,"1,900",911,989,"91,242","71,410","19,832","89,342","70,499","18,843"
1974,"-4,293","-5,505","1,212","1,20,897","98,306","22,591","1,25,190","1,03,811","21,379"
1975,"12,404","8,903","3,501","1,32,585","1,07,088","25,497","1,20,181","98,185","21,996"
1976,"-6,082","-9,483","3,401","1,42,716","1,14,745","27,971","1,48,798","1,24,228","24,570"
1977,"-27,246","-31,091","3,845","1,52,301","1,20,816","31,485","1,79,547","1,51,907","27,640"
1978,"-29,763","-33,927","4,164","1,78,428","1,42,075","36,353","2,08,191","1,76,002","32,189"
1979,"-24,565","-27,568","3,003","2,24,131","1,84,439","39,692","2,48,696","2,12,007","36,689"
1980,"-19,407","-25,500","6,093","2,71,834","2,24,250","47,584","2,91,241","2,49,750","41,491"
1981,"-16,172","-28,023","11,851","2,94,398","2,37,044","57,354","3,10,570","2,65,067","45,503"
1982,"-24,156","-36,485","12,329","2,75,236","2,11,157","64,079","2,99,391","2,47,642","51,749"
